index,winery,wine,year,rating,num_reviews,region,type,body,acidity,price
2022,Mustiguillo,Finca Terrerazo,2017,4.2,390,El Terrerazo,Red,NA,NA,24.45
2023,Matarromera,Gran Reserva,2011,4.2,389,Ribera del Duero,Ribera Del Duero Red,NA,NA,64.5
2024,Sei Solo,Preludio,2016,4.2,388,Ribera del Duero,Ribera Del Duero Red,NA,NA,31.63
2025,Vinedos de Paganos,El Puntido,2005,4.2,384,Rioja,Rioja Red,NA,NA,73
2026,La Vicalanda,Reserva,2015,4.2,420,Rioja,Rioja Red,4,3,17.5
2027,Enrique Mendoza,Santa Rosa,2017,4.2,420,Alicante,Red,4,3,18.9
2028,Clos Pons,Roc Nu,2011,4.2,420,Costers del Segre,Red,4,3,23.95
2029,Sierra Cantabria,Coleccion Privada,2012,4.2,420,Rioja,Rioja Red,4,3,28.3
2030,Imperial,Rioja Reserva,2004,4.2,417,Rioja,Rioja Red,4,3,45
2031,Losada,Altos de Losada,2018,4.2,415,Bierzo,Mencia,3,3,17.9
2032,Mar de Frades,Rias Baixas Albarino Finca Valinas,2015,4.2,414,Rias Baixas,Albarino,3,3,16.78
2033,La Rioja Alta,Vina Alberdi Crianza,2018,4.2,410,Rioja,Rioja Red,4,3,13.58
2034,Bodegas La Horra,Corimbo I,2015,4.2,412,Ribera del Duero,Ribera Del Duero Red,5,3,37.9
2035,Vina Pedrosa,Gran Reserva,2011,4.2,410,Ribera del Duero,Ribera Del Duero Red,5,3,51.35
2036,Campillo,Gran Reserva Rioja,2012,4.2,410,Rioja,Rioja Red,4,3,22.99
2037,Ramon do Casar,Treixadura,2020,4.2,407,Ribeiro,NA,NA,NA,11.95
2038,Lustau,Candela Cream Dulce Sweet,N.V.,4.2,405,Jerez-Xeres-Sherry,Sherry,4,3,7.1
2039,Portal del Priorat,Clos del Portal Somni,2014,4.2,404,Priorato,Priorat Red,4,3,77.36
2040,Binigrau,Nounat,2020,4.2,404,Mallorca,NA,NA,NA,19.9
2041,Ramon Bilbao,Mirto,2011,4.2,402,Rioja,Rioja Red,4,3,28.53
2042,Matsu,El Viejo,2019,4.2,400,Toro,Toro Red,5,3,27.89
2043,Artadi,Valdegines,2016,4.2,398,Vino de Espana,Tempranillo,4,2,48.96
2044,Contino,Rioja Graciano,2011,4.2,395,Rioja,Rioja Red,4,3,61.94
2045,Contino,Reserva,2016,4.2,392,Rioja,Rioja Red,4,3,19.98
2046,Conreria d'Scala Dei,Les Brugueres,2018,4.2,390,Priorato,Priorat Red,4,3,16.76
2047,Mustiguillo,Finca Terrerazo,2017,4.2,390,El Terrerazo,Red,4,3,24.45
2048,Matarromera,Gran Reserva,2011,4.2,389,Ribera del Duero,Ribera Del Duero Red,5,3,64.5
2049,Sei Solo,Preludio,2016,4.2,388,Ribera del Duero,Ribera Del Duero Red,5,3,31.63
2050,Vinedos de Paganos,El Puntido,2005,4.2,384,Rioja,Rioja Red,4,3,73
2051,La Vicalanda,Reserva,2015,4.2,420,Rioja,Rioja Red,4,3,17.5
2052,Enrique Mendoza,Santa Rosa,2017,4.2,420,Alicante,Red,4,3,18.9
2053,Clos Pons,Roc Nu,2011,4.2,420,Costers del Segre,Red,4,3,23.95
2054,Sierra Cantabria,Coleccion Privada,2012,4.2,420,Rioja,Rioja Red,4,3,28.3
2055,Imperial,Rioja Reserva,2004,4.2,417,Rioja,Rioja Red,4,3,45
2056,Losada,Altos de Losada,2018,4.2,415,Bierzo,Mencia,3,3,17.9
2057,Mar de Frades,Rias Baixas Albarino Finca Valinas,2015,4.2,414,Rias Baixas,Albarino,3,3,16.78
2058,La Rioja Alta,Vina Alberdi Crianza,2018,4.2,410,Rioja,Rioja Red,4,3,13.58
2059,Bodegas La Horra,Corimbo I,2015,4.2,412,Ribera del Duero,Ribera Del Duero Red,5,3,37.9
2060,Vina Pedrosa,Gran Reserva,2011,4.2,410,Ribera del Duero,Ribera Del Duero Red,5,3,51.35
2061,Campillo,Gran Reserva Rioja,2012,4.2,410,Rioja,Rioja Red,4,3,22.99
2062,Ramon do Casar,Treixadura,2020,4.2,407,Ribeiro,NA,NA,NA,11.95
2063,Lustau,Candela Cream Dulce Sweet,N.V.,4.2,405,Jerez-Xeres-Sherry,Sherry,4,3,7.1
2064,Portal del Priorat,Clos del Portal Somni,2014,4.2,404,Priorato,Priorat Red,4,3,77.36
2065,Binigrau,Nounat,2020,4.2,404,Mallorca,NA,NA,NA,19.9
2066,Ramon Bilbao,Mirto,2011,4.2,402,Rioja,Rioja Red,4,3,28.53
2067,Matsu,El Viejo,2019,4.2,400,Toro,Toro Red,5,3,27.89
2068,Artadi,Valdegines,2016,4.2,398,Vino de Espana,Tempranillo,4,2,48.96
2069,Contino,Rioja Graciano,2011,4.2,395,Rioja,Rioja Red,4,3,61.94
2070,Contino,Reserva,2016,4.2,392,Rioja,Rioja Red,4,3,19.98
2071,Conreria d'Scala Dei,Les Brugueres,2018,4.2,390,Priorato,Priorat Red,4,3,16.76
2072,Mustiguillo,Finca Terrerazo,2017,4.2,390,El Terrerazo,Red,4,3,24.45
2073,Matarromera,Gran Reserva,2011,4.2,389,Ribera del Duero,Ribera Del Duero Red,5,3,64.5
2074,Sei Solo,Preludio,2016,4.2,388,Ribera del Duero,Ribera Del Duero Red,5,3,31.63
2075,Vinedos de Paganos,El Puntido,2005,4.2,384,Rioja,Rioja Red,4,3,73
2076,La Vicalanda,Reserva,2015,4.2,420,Rioja,Rioja Red,4,3,17.5
2077,Enrique Mendoza,Santa Rosa,2017,4.2,420,Alicante,Red,4,3,18.9
2078,Clos Pons,Roc Nu,2011,4.2,420,Costers del Segre,Red,4,3,23.95
2079,Sierra Cantabria,Coleccion Privada,2012,4.2,420,Rioja,Rioja Red,4,3,28.3
2080,Imperial,Rioja Reserva,2004,4.2,417,Rioja,Rioja Red,4,3,45
2081,Losada,Altos de Losada,2018,4.2,415,Bierzo,Mencia,3,3,17.9
2082,Mar de Frades,Rias Baixas Albarino Finca Valinas,2015,4.2,414,Rias Baixas,Albarino,3,3,16.78
2083,La Rioja Alta,Vina Alberdi Crianza,2018,4.2,410,Rioja,Rioja Red,4,3,13.58
2084,Bodegas La Horra,Corimbo I,2015,4.2,412,Ribera del Duero,Ribera Del Duero Red,5,3,37.9
2085,Vina Pedrosa,Gran Reserva,2011,4.2,410,Ribera del Duero,Ribera Del Duero Red,5,3,51.35
2086,Campillo,Gran Reserva Rioja,2012,4.2,410,Rioja,Rioja Red,4,3,22.99
2087,Ramon do Casar,Treixadura,2020,4.2,407,Ribeiro,NA,NA,NA,11.95
2088,Lustau,Candela Cream Dulce Sweet,N.V.,4.2,405,Jerez-Xeres-Sherry,Sherry,4,3,7.1
2089,Portal del Priorat,Clos del Portal Somni,2014,4.2,404,Priorato,Priorat Red,4,3,77.36
2090,Binigrau,Nounat,2020,4.2,404,Mallorca,NA,NA,NA,19.9
2091,Ramon Bilbao,Mirto,2011,4.2,402,Rioja,Rioja Red,4,3,28.53
2092,Matsu,El Viejo,2019,4.2,400,Toro,Toro Red,5,3,27.89
2093,Artadi,Valdegines,2016,4.2,398,Vino de Espana,Tempranillo,4,2,48.96
2094,Contino,Rioja Graciano,2011,4.2,395,Rioja,Rioja Red,4,3,61.94
2095,Contino,Reserva,2016,4.2,392,Rioja,Rioja Red,4,3,19.98
2096,Conreria d'Scala Dei,Les Brugueres,2018,4.2,390,Priorato,Priorat Red,4,3,16.76
2097,Mustiguillo,Finca Terrerazo,2017,4.2,390,El Terrerazo,Red,4,3,24.45
2098,Matarromera,Gran Reserva,2011,4.2,389,Ribera del Duero,Ribera Del Duero Red,5,3,64.5
2099,Sei Solo,Preludio,2016,4.2,388,Ribera del Duero,Ribera Del Duero Red,5,3,31.63
2100,Vinedos de Paganos,El Puntido,2005,4.2,384,Rioja,Rioja Red,4,3,73
2101,La Vicalanda,Reserva,2015,4.2,420,Rioja,Rioja Red,4,3,17.5
2102,Enrique Mendoza,Santa Rosa,2017,4.2,420,Alicante,Red,4,3,18.9
2103,Clos Pons,Roc Nu,2011,4.2,420,Costers del Segre,Red,4,3,23.95
2104,Sierra Cantabria,Coleccion Privada,2012,4.2,420,Rioja,Rioja Red,4,3,28.3
2105,Imperial,Rioja Reserva,2004,4.2,417,Rioja,Rioja Red,4,3,45
2106,Losada,Altos de Losada,2018,4.2,415,Bierzo,Mencia,3,3,17.9
2107,Mar de Frades,Rias Baixas Albarino Finca Valinas,2015,4.2,414,Rias Baixas,Albarino,3,3,16.78
2108,La Rioja Alta,Vina Alberdi Crianza,2018,4.2,410,Rioja,Rioja Red,4,3,13.58
2109,Bodegas La Horra,Corimbo I,2015,4.2,412,Ribera del Duero,Ribera Del Duero Red,5,3,37.9
2110,Vina Pedrosa,Gran Reserva,2011,4.2,410,Ribera del Duero,Ribera Del Duero Red,5,3,51.35
2111,Campillo,Gran Reserva Rioja,2012,4.2,410,Rioja,Rioja Red,4,3,22.99
2112,Ramon do Casar,Treixadura,2020,4.2,407,Ribeiro,NA,NA,NA,11.95
2113,Lustau,Candela Cream Dulce Sweet,N.V.,4.2,405,Jerez-Xeres-Sherry,Sherry,4,3,7.1
2114,Portal del Priorat,Clos del Portal Somni,2014,4.2,404,Priorato,Priorat Red,4,3,77.36
2115,Binigrau,Nounat,2020,4.2,404,Mallorca,NA,NA,NA,19.9
2116,Ramon Bilbao,Mirto,2011,4.2,402,Rioja,Rioja Red,4,3,28.53
2117,Matsu,El Viejo,2019,4.2,400,Toro,Toro Red,5,3,27.89
2118,Artadi,Valdegines,2016,4.2,398,Vino de Espana,Tempranillo,4,2,48.96
2119,Contino,Rioja Graciano,2011,4.2,395,Rioja,Rioja Red,4,3,61.94
2120,Contino,Reserva,2016,4.2,392,Rioja,Rioja Red,4,3,19.98
2121,Conreria d'Scala Dei,Les Brugueres,2018,4.2,390,Priorato,Priorat Red,4,3,16.76
2122,Mustiguillo,Finca Terrerazo,2017,4.2,390,El Terrerazo,Red,4,3,24.45
2123,Matarromera,Gran Reserva,2011,4.2,389,Ribera del Duero,Ribera Del Duero Red,5,3,64.5
2124,Sei Solo,Preludio,2016,4.2,388,Ribera del Duero,Ribera Del Duero Red,5,3,31.63
2125,Vinedos de Paganos,El Puntido,2005,4.2,384,Rioja,Rioja Red,4,3,73
2126,La Vicalanda,Reserva,2015,4.2,420,Rioja,Rioja Red,4,3,17.5
2127,Enrique Mendoza,Santa Rosa,2017,4.2,420,Alicante,Red,4,3,18.9
2128,Clos Pons,Roc Nu,2011,4.2,420,Costers del Segre,Red,4,3,23.95
2129,Sierra Cantabria,Coleccion Privada,2012,4.2,420,Rioja,Rioja Red,4,3,28.3
2130,Imperial,Rioja Reserva,2004,4.2,417,Rioja,Rioja Red,4,3,45
2131,Losada,Altos de Losada,2018,4.2,415,Bierzo,Mencia,3,3,17.9
2132,Mar de Frades,Rias Baixas Albarino Finca Valinas,2015,4.2,414,Rias Baixas,Albarino,3,3,16.78
2133,La Rioja Alta,Vina Alberdi Crianza,2018,4.2,410,Rioja,Rioja Red,4,3,13.58
2134,Bodegas La Horra,Corimbo I,2015,4.2,412,Ribera del Duero,Ribera Del Duero Red,5,3,37.9
2135,Vina Pedrosa,Gran Reserva,2011,4.2,410,Ribera del Duero,Ribera Del Duero Red,5,3,51.35
2136,Campillo,Gran Reserva Rioja,2012,4.2,410,Rioja,Rioja Red,4,3,22.99
2137,Ramon do Casar,Treixadura,2020,4.2,407,Ribeiro,NA,NA,NA,11.95
2138,Lustau,Candela Cream Dulce Sweet,N.V.,4.2,405,Jerez-Xeres-Sherry,Sherry,4,3,7.1
2139,Portal del Priorat,Clos del Portal Somni,2014,4.2,404,Priorato,Priorat Red,4,3,77.36
2140,Binigrau,Nounat,2020,4.2,404,Mallorca,NA,NA,NA,19.9
2141,Ramon Bilbao,Mirto,2011,4.2,402,Rioja,Rioja Red,4,3,28.53
2142,Matsu,El Viejo,2019,4.2,400,Toro,Toro Red,5,3,27.89
2143,Artadi,Valdegines,2016,4.2,398,Vino de Espana,Tempranillo,4,2,48.96
2144,Contino,Rioja Graciano,2011,4.2,395,Rioja,Rioja Red,4,3,61.94
2145,Contino,Reserva,2016,4.2,392,Rioja,Rioja Red,4,3,19.98
2146,Conreria d'Scala Dei,Les Brugueres,2018,4.2,390,Priorato,Priorat Red,4,3,16.76
2147,Mustiguillo,Finca Terrerazo,2017,4.2,390,El Terrerazo,Red,4,3,24.45
2148,Matarromera,Gran Reserva,2011,4.2,389,Ribera del Duero,Ribera Del Duero Red,5,3,64.5
2149,Sei Solo,Preludio,2016,4.2,388,Ribera del Duero,Ribera Del Duero Red,5,3,31.63
2150,Vinedos de Paganos,El Puntido,2005,4.2,384,Rioja,Rioja Red,4,3,73
2151,La Vicalanda,Reserva,2015,4.2,420,Rioja,Rioja Red,4,3,17.5
2152,Enrique Mendoza,Santa Rosa,2017,4.2,420,Alicante,Red,4,3,18.9
2153,Clos Pons,Roc Nu,2011,4.2,420,Costers del Segre,Red,4,3,23.95
2154,Sierra Cantabria,Coleccion Privada,2012,4.2,420,Rioja,Rioja Red,4,3,28.3
2155,Imperial,Rioja Reserva,2004,4.2,417,Rioja,Rioja Red,4,3,45
2156,Losada,Altos de Losada,2018,4.2,415,Bierzo,Mencia,3,3,17.9
2157,Mar de Frades,Rias Baixas Albarino Finca Valinas,2015,4.2,414,Rias Baixas,Albarino,3,3,16.78
2158,La Rioja Alta,Vina Alberdi Crianza,2018,4.2,410,Rioja,Rioja Red,4,3,13.58
2159,Bodegas La Horra,Corimbo I,2015,4.2,412,Ribera del Duero,Ribera Del Duero Red,5,3,37.9
2160,Vina Pedrosa,Gran Reserva,2011,4.2,410,Ribera del Duero,Ribera Del Duero Red,5,3,51.35
2161,Campillo,Gran Reserva Rioja,2012,4.2,410,Rioja,Rioja Red,4,3,22.99
2162,Ramon do Casar,Treixadura,2020,4.2,407,Ribeiro,NA,NA,NA,11.95
2163,Lustau,Candela Cream Dulce Sweet,N.V.,4.2,405,Jerez-Xeres-Sherry,Sherry,4,3,7.1
2164,Portal del Priorat,Clos del Portal Somni,2014,4.2,404,Priorato,Priorat Red,4,3,77.36
2165,Binigrau,Nounat,2020,4.2,404,Mallorca,NA,NA,NA,19.9
2166,Ramon Bilbao,Mirto,2011,4.2,402,Rioja,Rioja Red,4,3,28.53
2167,Matsu,El Viejo,2019,4.2,400,Toro,Toro Red,5,3,27.89
2168,Artadi,Valdegines,2016,4.2,398,Vino de Espana,Tempranillo,4,2,48.96
2169,Contino,Rioja Graciano,2011,4.2,395,Rioja,Rioja Red,4,3,61.94
2170,Contino,Reserva,2016,4.2,392,Rioja,Rioja Red,4,3,19.98
2171,Conreria d'Scala Dei,Les Brugueres,2018,4.2,390,Priorato,Priorat Red,4,3,16.76
2172,Mustiguillo,Finca Terrerazo,2017,4.2,390,El Terrerazo,Red,4,3,24.45
2173,Matarromera,Gran Reserva,2011,4.2,389,Ribera del Duero,Ribera Del Duero Red,5,3,64.5
2174,Sei Solo,Preludio,2016,4.2,388,Ribera del Duero,Ribera Del Duero Red,5,3,31.63
2175,Vinedos de Paganos,El Puntido,2005,4.2,384,Rioja,Rioja Red,4,3,73
2176,La Vicalanda,Reserva,2015,4.2,420,Rioja,Rioja Red,4,3,17.5
2177,Enrique Mendoza,Santa Rosa,2017,4.2,420,Alicante,Red,4,3,18.9
2178,Clos Pons,Roc Nu,2011,4.2,420,Costers del Segre,Red,4,3,23.95
2179,Sierra Cantabria,Coleccion Privada,2012,4.2,420,Rioja,Rioja Red,4,3,28.3
2180,Imperial,Rioja Reserva,2004,4.2,417,Rioja,Rioja Red,4,3,45
2181,Losada,Altos de Losada,2018,4.2,415,Bierzo,Mencia,3,3,17.9
2182,Mar de Frades,Rias Baixas Albarino Finca Valinas,2015,4.2,414,Rias Baixas,Albarino,3,3,16.78
2183,La Rioja Alta,Vina Alberdi Crianza,2018,4.2,410,Rioja,Rioja Red,4,3,13.58
2184,Bodegas La Horra,Corimbo I,2015,4.2,412,Ribera del Duero,Ribera Del Duero Red,5,3,37.9
2185,Vina Pedrosa,Gran Reserva,2011,4.2,410,Ribera del Duero,Ribera Del Duero Red,5,3,51.35
2186,Campillo,Gran Reserva Rioja,2012,4.2,410,Rioja,Rioja Red,4,3,22.99
2187,Ramon do Casar,Treixadura,2020,4.2,407,Ribeiro,NA,NA,NA,11.95
2188,Lustau,Candela Cream Dulce Sweet,N.V.,4.2,405,Jerez-Xeres-Sherry,Sherry,4,3,7.1
2189,Portal del Priorat,Clos del Portal Somni,2014,4.2,404,Priorato,Priorat Red,4,3,77.36
2190,Binigrau,Nounat,2020,4.2,404,Mallorca,NA,NA,NA,19.9
2191,Ramon Bilbao,Mirto,2011,4.2,402,Rioja,Rioja Red,4,3,28.53
2192,Matsu,El Viejo,2019,4.2,400,Toro,Toro Red,5,3,27.89
2193,Artadi,Valdegines,2016,4.2,398,Vino de Espana,Tempranillo,4,2,48.96
2194,Contino,Rioja Graciano,2011,4.2,395,Rioja,Rioja Red,4,3,61.94
2195,Contino,Reserva,2016,4.2,392,Rioja,Rioja Red,4,3,19.98
2196,Conreria d'Scala Dei,Les Brugueres,2018,4.2,390,Priorato,Priorat Red,4,3,16.76
2197,Mustiguillo,Finca Terrerazo,2017,4.2,390,El Terrerazo,Red,4,3,24.45
2198,Matarromera,Gran Reserva,2011,4.2,389,Ribera del Duero,Ribera Del Duero Red,5,3,64.5
2199,Sei Solo,Preludio,2016,4.2,388,Ribera del Duero,Ribera Del Duero Red,5,3,31.63
2200,Vinedos de Paganos,El Puntido,2005,4.2,384,Rioja,Rioja Red,4,3,73
2201,La Vicalanda,Reserva,2015,4.2,420,Rioja,Rioja Red,4,3,17.5
2202,Enrique Mendoza,Santa Rosa,2017,4.2,420,Alicante,Red,4,3,18.9
2203,Clos Pons,Roc Nu,2011,4.2,420,Costers del Segre,Red,4,3,23.95
2204,Sierra Cantabria,Coleccion Privada,2012,4.2,420,Rioja,Rioja Red,4,3,28.3
2205,Imperial,Rioja Reserva,2004,4.2,417,Rioja,Rioja Red,4,3,45
2206,Losada,Altos de Losada,2018,4.2,415,Bierzo,Mencia,3,3,17.9
2207,Mar de Frades,Rias Baixas Albarino Finca Valinas,2015,4.2,414,Rias Baixas,Albarino,3,3,16.78
2208,La Rioja Alta,Vina Alberdi Crianza,2018,4.2,410,Rioja,Rioja Red,4,3,13.58
2209,Bodegas La Horra,Corimbo I,2015,4.2,412,Ribera del Duero,Ribera Del Duero Red,5,3,37.9
2210,Vina Pedrosa,Gran Reserva,2011,4.2,410,Ribera del Duero,Ribera Del Duero Red,5,3,51.35
2211,Campillo,Gran Reserva Rioja,2012,4.2,410,Rioja,Rioja Red,4,3,22.99
2212,Ramon do Casar,Treixadura,2020,4.2,407,Ribeiro,NA,NA,NA,11.95
2213,Lustau,Candela Cream Dulce Sweet,N.V.,4.2,405,Jerez-Xeres-Sherry,Sherry,4,3,7.1
2214,Portal del Priorat,Clos del Portal Somni,2014,4.2,404,Priorato,Priorat Red,4,3,77.36
2215,Binigrau,Nounat,2020,4.2,404,Mallorca,NA,NA,NA,19.9
2216,Ramon Bilbao,Mirto,2011,4.2,402,Rioja,Rioja Red,4,3,28.53
2217,Matsu,El Viejo,2019,4.2,400,Toro,Toro Red,5,3,27.89
2218,Artadi,Valdegines,2016,4.2,398,Vino de Espana,Tempranillo,4,2,48.96
2219,Contino,Rioja Graciano,2011,4.2,395,Rioja,Rioja Red,4,3,61.94
2220,Contino,Reserva,2016,4.2,392,Rioja,Rioja Red,4,3,19.98
2221,Conreria d'Scala Dei,Les Brugueres,2018,4.2,390,Priorato,Priorat Red,4,3,16.76
2222,Mustiguillo,Finca Terrerazo,2017,4.2,390,El Terrerazo,Red,4,3,24.45
2223,Matarromera,Gran Reserva,2011,4.2,389,Ribera del Duero,Ribera Del Duero Red,5,3,64.5
2224,Sei Solo,Preludio,2016,4.2,388,Ribera del Duero,Ribera Del Duero Red,5,3,31.63
2225,Vinedos de Paganos,El Puntido,2005,4.2,384,Rioja,Rioja Red,4,3,73
2226,La Vicalanda,Reserva,2015,4.2,420,Rioja,Rioja Red,4,3,17.5
2227,Enrique Mendoza,Santa Rosa,2017,4.2,420,Alicante,Red,4,3,18.9
2228,Clos Pons,Roc Nu,2011,4.2,420,Costers del Segre,Red,4,3,23.95
2229,Sierra Cantabria,Coleccion Privada,2012,4.2,420,Rioja,Rioja Red,4,3,28.3
2230,Imperial,Rioja Reserva,2004,4.2,417,Rioja,Rioja Red,4,3,45
2231,Losada,Altos de Losada,2018,4.2,415,Bierzo,Mencia,3,3,17.9
2232,Mar de Frades,Rias Baixas Albarino Finca Valinas,2015,4.2,414,Rias Baixas,Albarino,3,3,16.78
2233,La Rioja Alta,Vina Alberdi Crianza,2018,4.2,410,Rioja,Rioja Red,4,3,13.58
2234,Bodegas La Horra,Corimbo I,2015,4.2,412,Ribera del Duero,Ribera Del Duero Red,5,3,37.9
2235,Vina Pedrosa,Gran Reserva,2011,4.2,410,Ribera del Duero,Ribera Del Duero Red,5,3,51.35
2236,Campillo,Gran Reserva Rioja,2012,4.2,410,Rioja,Rioja Red,4,3,22.99
2237,Ramon do Casar,Treixadura,2020,4.2,407,Ribeiro,NA,NA,NA,11.95
2238,Lustau,Candela Cream Dulce Sweet,N.V.,4.2,405,Jerez-Xeres-Sherry,Sherry,4,3,7.1
2239,Portal del Priorat,Clos del Portal Somni,2014,4.2,404,Priorato,Priorat Red,4,3,77.36
2240,Binigrau,Nounat,2020,4.2,404,Mallorca,NA,NA,NA,19.9
2241,Ramon Bilbao,Mirto,2011,4.2,402,Rioja,Rioja Red,4,3,28.53
2242,Matsu,El Viejo,2019,4.2,400,Toro,Toro Red,5,3,27.89
2243,Artadi,Valdegines,2016,4.2,398,Vino de Espana,Tempranillo,4,2,48.96
2244,Contino,Rioja Graciano,2011,4.2,395,Rioja,Rioja Red,4,3,61.94
2245,Contino,Reserva,2016,4.2,392,Rioja,Rioja Red,4,3,19.98
2246,Conreria d'Scala Dei,Les Brugueres,2018,4.2,390,Priorato,Priorat Red,4,3,16.76
2247,Mustiguillo,Finca Terrerazo,2017,4.2,390,El Terrerazo,Red,4,3,24.45
2248,Matarromera,Gran Reserva,2011,4.2,389,Ribera del Duero,Ribera Del Duero Red,5,3,64.5
2249,Sei Solo,Preludio,2016,4.2,388,Ribera del Duero,Ribera Del Duero Red,5,3,31.63
2250,Vinedos de Paganos,El Puntido,2005,4.2,384,Rioja,Rioja Red,4,3,73
2251,La Vicalanda,Reserva,2015,4.2,420,Rioja,Rioja Red,4,3,17.5
2252,Enrique Mendoza,Santa Rosa,2017,4.2,420,Alicante,Red,4,3,18.9
2253,Clos Pons,Roc Nu,2011,4.2,420,Costers del Segre,Red,4,3,23.95
2254,Sierra Cantabria,Coleccion Privada,2012,4.2,420,Rioja,Rioja Red,4,3,28.3
2255,Imperial,Rioja Reserva,2004,4.2,417,Rioja,Rioja Red,4,3,45
2256,Losada,Altos de Losada,2018,4.2,415,Bierzo,Mencia,3,3,17.9
2257,Mar de Frades,Rias Baixas Albarino Finca Valinas,2015,4.2,414,Rias Baixas,Albarino,3,3,16.78
2258,La Rioja Alta,Vina Alberdi Crianza,2018,4.2,410,Rioja,Rioja Red,4,3,13.58
2259,Bodegas La Horra,Corimbo I,2015,4.2,412,Ribera del Duero,Ribera Del Duero Red,5,3,37.9
2260,Vina Pedrosa,Gran Reserva,2011,4.2,410,Ribera del Duero,Ribera Del Duero Red,5,3,51.35
2261,Campillo,Gran Reserva Rioja,2012,4.2,410,Rioja,Rioja Red,4,3,22.99
2262,Ramon do Casar,Treixadura,2020,4.2,407,Ribeiro,NA,NA,NA,11.95
2263,Lustau,Candela Cream Dulce Sweet,N.V.,4.2,405,Jerez-Xeres-Sherry,Sherry,4,3,7.1
2264,Portal del Priorat,Clos del Portal Somni,2014,4.2,404,Priorato,Priorat Red,4,3,77.36
2265,Binigrau,Nounat,2020,4.2,404,Mallorca,NA,NA,NA,19.9
2266,Ramon Bilbao,Mirto,2011,4.2,402,Rioja,Rioja Red,4,3,28.53
2267,Matsu,El Viejo,2019,4.2,400,Toro,Toro Red,5,3,27.89
2268,Artadi,Valdegines,2016,4.2,398,Vino de Espana,Tempranillo,4,2,48.96
2269,Contino,Rioja Graciano,2011,4.2,395,Rioja,Rioja Red,4,3,61.94
2270,Contino,Reserva,2016,4.2,392,Rioja,Rioja Red,4,3,19.98
2271,Conreria d'Scala Dei,Les Brugueres,2018,4.2,390,Priorato,Priorat Red,4,3,16.76
2272,Mustiguillo,Finca Terrerazo,2017,4.2,390,El Terrerazo,Red,4,3,24.45
2273,Matarromera,Gran Reserva,2011,4.2,389,Ribera del Duero,Ribera Del Duero Red,5,3,64.5
2274,Sei Solo,Preludio,2016,4.2,388,Ribera del Duero,Ribera Del Duero Red,5,3,31.63
2275,Vinedos de Paganos,El Puntido,2005,4.2,384,Rioja,Rioja Red,4,3,73
2276,La Vicalanda,Reserva,2015,4.2,420,Rioja,Rioja Red,4,3,17.5
2277,Enrique Mendoza,Santa Rosa,2017,4.2,420,Alicante,Red,4,3,18.9
2278,Clos Pons,Roc Nu,2011,4.2,420,Costers del Segre,Red,4,3,23.95
2279,Sierra Cantabria,Coleccion Privada,2012,4.2,420,Rioja,Rioja Red,4,3,28.3
2280,Imperial,Rioja Reserva,2004,4.2,417,Rioja,Rioja Red,4,3,45
2281,Losada,Altos de Losada,2018,4.2,415,Bierzo,Mencia,3,3,17.9
2282,Mar de Frades,Rias Baixas Albarino Finca Valinas,2015,4.2,414,Rias Baixas,Albarino,3,3,16.78
2283,La Rioja Alta,Vina Alberdi Crianza,2018,4.2,410,Rioja,Rioja Red,4,3,13.58
2284,Bodegas La Horra,Corimbo I,2015,4.2,412,Ribera del Duero,Ribera Del Duero Red,5,3,37.9
2285,Vina Pedrosa,Gran Reserva,2011,4.2,410,Ribera del Duero,Ribera Del Duero Red,5,3,51.35
2286,Campillo,Gran Reserva Rioja,2012,4.2,410,Rioja,Rioja Red,4,3,22.99
2287,Ramon do Casar,Treixadura,2020,4.2,407,Ribeiro,NA,NA,NA,11.95
2288,Lustau,Candela Cream Dulce Sweet,N.V.,4.2,405,Jerez-Xeres-Sherry,Sherry,4,3,7.1
2289,Portal del Priorat,Clos del Portal Somni,2014,4.2,404,Priorato,Priorat Red,4,3,77.36
2290,Binigrau,Nounat,2020,4.2,404,Mallorca,NA,NA,NA,19.9
2291,Ramon Bilbao,Mirto,2011,4.2,402,Rioja,Rioja Red,4,3,28.53
2292,Matsu,El Viejo,2019,4.2,400,Toro,Toro Red,5,3,27.89
2293,Artadi,Valdegines,2016,4.2,398,Vino de Espana,Tempranillo,4,2,48.96
2294,Contino,Rioja Graciano,2011,4.2,395,Rioja,Rioja Red,4,3,61.94
2295,Contino,Reserva,2016,4.2,392,Rioja,Rioja Red,4,3,19.98
2296,Conreria d'Scala Dei,Les Brugueres,2018,4.2,390,Priorato,Priorat Red,4,3,16.76
2297,Mustiguillo,Finca Terrerazo,2017,4.2,390,El Terrerazo,Red,4,3,24.45
2298,Matarromera,Gran Reserva,2011,4.2,389,Ribera del Duero,Ribera Del Duero Red,5,3,64.5
2299,Sei Solo,Preludio,2016,4.2,388,Ribera del Duero,Ribera Del Duero Red,5,3,31.63
2300,Vinedos de Paganos,El Puntido,2005,4.2,384,Rioja,Rioja Red,4,3,73
2301,La Vicalanda,Reserva,2015,4.2,420,Rioja,Rioja Red,4,3,17.5
2302,Enrique Mendoza,Santa Rosa,2017,4.2,420,Alicante,Red,4,3,18.9
2303,Clos Pons,Roc Nu,2011,4.2,420,Costers del Segre,Red,4,3,23.95
